,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Jalu,29.03,21.55,83.3,31,0,10.33,LY,1600221349
1,Santa Cruz de La Palma,28.68,-17.76,75.0,88,100,13.87,ES,1600221350
2,Roblin,51.23,-101.36,51.08,72,100,11.5,CA,1600221350
3,Khatanga,71.97,102.5,51.69,76,100,6.76,RU,1600221350
4,Saskylakh,71.92,114.08,51.1,67,100,5.41,RU,1600221350
5,City of San Pedro,14.35,121.02,84.2,79,75,5.82,PH,1600221350
6,Mahébourg,-20.41,57.7,68.0,64,75,9.17,MU,1600221350
7,Taoudenni,22.68,-3.98,98.69,14,0,16.71,ML,1600221350
8,Albany,42.6,-73.97,51.01,68,11,2.3,US,1600221261
9,Avarua,-21.21,-159.78,77.0,69,53,16.11,CK,1600221351
10,São Filipe,14.9,-24.5,79.54,82,93,6.69,CV,1600221351
11,Busselton,-33.65,115.33,62.01,56,37,11.63,AU,1600221093
12,Jalingo,8.88,11.37,74.43,89,100,0.36,NG,1600221351
13,Harpanahalli,14.8,75.98,70.48,93,95,11.52,IN,1600221351
14,Chokurdakh,70.63,147.92,41.63,66,98,6.98,RU,1600221351
15,Izhmorskiy,56.19,86.64,54.75,75,77,7.29,RU,1600221351
16,Hermanus,-34.42,19.23,39.99,94,0,9.22,ZA,1600221351
17,Saint-Joseph,-21.37,55.62,66.2,55,90,6.93,RE,1600221351
18,Kruisfontein,-34.0,24.73,51.01,90,0,6.89,ZA,1600221352
19,Bredasdorp,-34.53,20.04,46.4,87,0,5.82,ZA,1600221352
20,Fukuechō,32.69,128.84,71.6,88,75,1.12,JP,1600221352
21,Tabuk,17.42,121.44,82.04,75,100,4.65,PH,1600221352
22,Morón,-34.65,-58.62,57.0,68,51,5.53,AR,1600221352
23,Kaitangata,-46.28,169.85,57.0,49,94,34.0,NZ,1600221352
24,Clyde River,70.47,-68.59,33.8,95,90,11.41,CA,1600221352
25,Lata,40.16,-8.33,63.0,82,0,1.5,PT,1600221352
26,Doha,25.29,51.53,91.0,70,0,3.36,QA,1600221187
27,Barrow,71.29,-156.79,35.6,86,90,27.51,US,1600221308
28,Faanui,-16.48,-151.75,78.06,78,0,15.08,PF,1600221353
29,Trairi,-3.28,-39.27,77.41,77,0,11.77,BR,1600221221
30,Touros,-5.2,-35.46,75.2,88,40,4.7,BR,1600221241
31,Tuy Hoa,13.08,109.3,83.73,70,98,10.51,VN,1600221353
32,Rikitea,-23.12,-134.97,74.08,71,0,0.65,PF,1600221353
33,Vila,42.03,-8.16,57.0,92,42,2.86,PT,1600221353
34,Jamestown,42.1,-79.24,55.4,66,1,9.17,US,1600221270
35,Kutum,14.2,24.67,74.12,64,53,8.57,SD,1600221353
36,Khasan,42.43,130.64,65.32,87,100,13.65,RU,1600221353
37,Mataura,-46.19,168.86,52.0,82,100,13.0,NZ,1600221353
38,Casablanca,33.59,-7.62,73.0,94,40,5.82,MA,1600221158
39,Atuona,-9.8,-139.03,78.35,76,0,17.2,PF,1600221354
40,Vaini,-21.2,-175.2,77.0,73,20,12.75,TO,1600221354
41,Hasaki,35.73,140.83,80.01,78,75,10.29,JP,1600221354
42,Bambous Virieux,-20.34,57.76,69.01,64,75,9.17,MU,1600221354
43,Outjo,-20.12,16.15,50.94,41,0,8.19,NA,1600221354
44,Esim,4.87,-2.24,75.24,89,100,10.83,GH,1600221354
45,Mokokchūng,26.33,94.53,65.77,100,94,2.15,IN,1600221354
46,Butaritari,3.07,172.79,83.82,74,33,16.71,KI,1600221355
47,Shiraoi,42.55,141.35,71.6,83,75,18.34,JP,1600221355
48,Souillac,-20.52,57.52,68.0,64,75,9.17,MU,1600221355
49,Mandalgovi,45.76,106.27,43.63,62,0,12.73,MN,1600221355
50,Vao,-22.67,167.48,68.04,73,38,22.12,NC,1600221355
51,Kavieng,-2.57,150.8,84.45,76,75,15.99,PG,1600221355
52,Puerto Ayora,-0.74,-90.35,66.99,91,55,5.01,EC,1600221355
53,Acarí,-15.43,-74.62,64.31,65,98,3.98,PE,1600221355
54,Hilo,19.73,-155.09,86.0,58,40,11.41,US,1600221205
55,Serov,59.6,60.58,48.52,95,100,13.6,RU,1600221356
56,Kushiro,42.98,144.37,68.0,88,75,12.75,JP,1600221356
57,Wagga Wagga,-35.12,147.37,71.01,68,39,4.7,AU,1600221356
58,Tezu,27.92,96.17,74.64,87,100,1.99,IN,1600221356
59,Samborondón,-1.95,-79.73,78.8,74,40,11.41,EC,1600221356
60,Penzance,50.12,-5.54,59.0,100,90,8.05,GB,1600221356
61,Hobart,-42.88,147.33,62.6,42,75,20.8,AU,1600221356
62,Ballarat,-37.57,143.85,61.0,60,100,4.0,AU,1600221357
63,Avesta,60.15,16.17,55.99,96,77,1.01,SE,1600221357
64,Phalodi,27.13,72.37,89.94,53,0,12.17,IN,1600221357
65,Kalanguy,51.02,116.52,55.54,56,100,13.11,RU,1600221357
66,Lebu,-37.62,-73.65,49.32,95,85,3.2,CL,1600221357
67,Dalbandin,28.89,64.41,71.47,20,0,3.06,PK,1600221357
68,Bangolo,7.01,-7.47,71.26,97,79,3.71,CI,1600221357
69,Linxia Chengguanzhen,35.6,103.21,58.57,53,99,3.69,CN,1600221215
70,Torbay,47.67,-52.73,50.0,70,90,10.29,CA,1600221180
71,Kununurra,-15.77,128.73,91.4,38,100,8.05,AU,1600221358
72,Creel,27.75,-107.63,56.8,89,13,7.85,MX,1600221358
73,Yulara,-25.24,130.99,82.4,20,0,10.29,AU,1600221358
74,Ust-Maya,60.42,134.53,54.73,57,9,5.57,RU,1600221358
75,Te Anau,-45.42,167.72,46.89,85,98,8.32,NZ,1600221105
76,Nyrob,60.73,56.72,43.2,95,100,8.68,RU,1600221358
77,Yellowknife,62.46,-114.35,35.6,37,20,8.05,CA,1600221358
78,Port Augusta,-32.5,137.77,77.0,25,100,7.0,AU,1600221358
79,Hobyo,5.35,48.53,76.87,84,6,18.75,SO,1600221358
80,Merauke,-8.47,140.33,83.08,69,60,16.42,ID,1600221358
81,Bandarbeyla,9.49,50.81,78.71,72,57,21.88,SO,1600221359
82,Havre-St-Pierre,50.23,-63.6,44.6,81,1,13.87,CA,1600221359
83,Nikolskoye,59.7,30.79,45.0,93,91,4.47,RU,1600221359
84,Pevek,69.7,170.31,43.05,79,98,5.3,RU,1600221359
85,Tegul'det,57.31,88.17,52.9,78,94,7.36,RU,1600221359
86,Mossamedes,-15.2,12.15,59.54,81,0,5.84,AO,1600221359
87,Curaçá,-8.99,-39.91,73.72,68,3,17.98,BR,1600221359
88,Geraldton,-28.77,114.6,68.0,64,75,24.16,AU,1600221359
89,Severo-Kuril'sk,50.68,156.12,56.84,58,78,11.86,RU,1600221360
90,Poum,-20.23,164.02,73.53,69,81,18.66,NC,1600221360
91,Koygorodok,60.45,51.0,42.46,95,100,7.36,RU,1600221360
92,Abu Samrah,35.3,37.18,67.14,51,0,3.71,SY,1600221360
